Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,Method Code,CBSA Code,CBSA Name,County FIPS Code,County,Site Latitude,Site Longitude
2024-01-01,AQS,60374010,1,0.036,ppm,33.0,North Hollywood (NOHO),17,100,87,31080,"Los Angeles-Long Beach-Anaheim, CA",37,Los Angeles,34.1819770008773,-118.363036
2024-01-01,AQS,60690003,1,0.031,ppm,29.0,Pinnacles NP,17,100,47,41940,"San Jose-Sunnyvale-Santa Clara, CA",69,San Benito,36.48324,-121.15688
2024-01-01,AQS,60131004,1,0.025,ppm,23.0,San Pablo,17,100,47,41860,"San Francisco-Oakland-Hayward, CA",13,Contra Costa,37.9604,-122.356811
2024-01-01,AQS,60890009,1,0.028,ppm,26.0,Shasta Lake - Lake Blvd,17,100,199,39820,"Redding, CA",89,Shasta,40.6892525425033,-122.402194175431
2024-01-01,AQS,60893003,1,0.033,ppm,31.0,Lassen Volcanic NP,17,100,87,39820,"Redding, CA",89,Shasta,40.53999,-121.57646
2024-01-01,AirNow,60675003,1,0.011,ppm,10.0,Sloughhouse,24,100,87,40900,"Sacramento-Roseville-Arden-Arcade, CA",67,Sacramento,38.494475,-121.211131
2024-01-01,AQS,60190007,1,0.014,ppm,13.0,Fresno-Drummond,17,100,199,23420,"Fresno, CA",19,Fresno,36.705474,-119.741332
2024-01-01,AQS,60670012,1,0.018,ppm,17.0,Folsom-Natoma St.,17,100,87,40900,"Sacramento-Roseville-Arden-Arcade, CA",67,Sacramento,38.683304,-121.164457
2024-01-01,AQS,60290014,1,0.025,ppm,28.0,Bakersfield-California,17,100,87,12540,"Bakersfield, CA",29,Kern,35.356615,-119.062613
2024-01-01,AQS,60131002,1,0.024,ppm,22.0,Bethel Island,15,88,47,41860,"San Francisco-Oakland-Hayward, CA",13,Contra Costa,38.006311,-121.641918
2024-01-01,AQS,60932001,1,0.022,ppm,20.0,Yreka,17,100,87,-1,Non-CBSA,93,Siskiyou,41.726892,-122.633579
2024-01-01,AQS,60670011,1,0.015,ppm,14.0,Elk Grove-Bruceville,17,100,87,40900,"Sacramento-Roseville-Arden-Arcade, CA",67,Sacramento,38.302591,-121.420838
2024-01-01,AQS,60830011,1,0.032,ppm,30.0,Santa Barbara,17,100,87,42200,"Santa Maria-Santa Barbara, CA",83,Santa Barbara,34.4277749961254,-119.691217778642
2024-01-01,AQS,60670010,1,0.019,ppm,18.0,Sacramento-1309 T Street,17,100,87,40900,"Sacramento-Roseville-Arden-Arcade, CA",67,Sacramento,38.56844,-121.49311
2024-01-01,AQS,60950004,1,0.024,ppm,22.0,Vallejo,17,100,47,46700,"Vallejo-Fairfield, CA",95,Solano,38.102507,-122.237976
2024-01-01,AQS,60670006,1,0.019,ppm,18.0,Sacramento-Del Paso Manor,17,100,87,40900,"Sacramento-Roseville-Arden-Arcade, CA",67,Sacramento,38.6137790009202,-121.368014
2024-01-01,AQS,60290020,1,0.036,ppm,33.0,Mojave-Pat Avenue,17,100,87,12540,"Bakersfield, CA",29,Kern,35.04944,-118.18893
2024-01-01,AQS,60750005,1,0.02,ppm,19.0,San Francisco,17,100,47,41860,"San Francisco-Oakland-Hayward, CA",75,San Francisco,37.765946,-122.399044
2024-01-01,AQS,60950005,1,0.03,ppm,28.0,Fairfield,17,100,47,46700,"Vallejo-Fairfield, CA",95,Solano,38.227066,-122.075624
2024-01-01,AQS,60659001,1,0.04,ppm,37.0,Lake Elsinore,17,100,87,40140,"Riverside-San Bernardino-Ontario, CA",65,Riverside,33.67649,-117.33098
2024-01-01,AQS,60953003,1,0.032,ppm,30.0,Vacaville-Ulatis Drive,17,100,87,46700,"Vallejo-Fairfield, CA",95,Solano,38.35655,-121.94986
2024-01-01,AQS,60771003,1,0.022,ppm,20.0,Stockton - University Park,17,100,87,44700,"Stockton-Lodi, CA",77,San Joaquin,37.961578,-121.281414
2024-01-01,AQS,60658005,1,0.037,ppm,34.0,Mira Loma (Van Buren),17,100,87,40140,"Riverside-San Bernardino-Ontario, CA",65,Riverside,33.996360000875,-117.4924
2024-01-01,AQS,60658001,1,0.039,ppm,36.0,Rubidoux,17,100,87,40140,"Riverside-San Bernardino-Ontario, CA",65,Riverside,33.9995800008751,-117.41601
2024-01-01,AQS,60292012,1,0.023,ppm,21.0,Bakersfield-Muni,17,100,199,12540,"Bakersfield, CA",29,Kern,35.331612,-118.999961
2024-01-01,AQS,60970004,1,0.026,ppm,24.0,Sebastopol,17,100,47,42220,"Santa Rosa, CA",97,Sonoma,38.403765,-122.818294
2024-01-01,AQS,60655001,1,0.041,ppm,35.0,Palm Springs,17,100,87,40140,"Riverside-San Bernardino-Ontario, CA",65,Riverside,33.85275,-116.54101
2024-01-01,AQS,60731016,1,0.039,ppm,36.0,San Diego - Kearny Villa Rd.,17,100,47,41740,"San Diego-Carlsbad, CA",73,San Diego,32.8457090008602,-117.123964
2024-01-01,AQS,60831025,1,0.033,ppm,31.0,Los Flores Canyon #1,17,100,87,42200,"Santa Maria-Santa Barbara, CA",83,Santa Barbara,34.489740000881,-120.04692
2024-01-01,AQS,60295002,1,0.031,ppm,29.0,Arvin-Di Giorgio,17,100,87,12540,"Bakersfield, CA",29,Kern,35.23918,-118.78863
2024-01-01,AQS,60739991,1,0.046,ppm,43.0,La Posta Band of Indians,17,100,47,41740,"San Diego-Carlsbad, CA",73,San Diego,32.725189,-116.36441
2024-01-01,AQS,60710001,1,0.032,ppm,30.0,Barstow,17,100,87,40140,"Riverside-San Bernardino-Ontario, CA",71,San Bernardino,34.89405,-117.02471
2024-01-01,AQS,60833001,1,0.032,ppm,30.0,Santa Ynez,17,100,87,42200,"Santa Maria-Santa Barbara, CA",83,Santa Barbara,34.605819,-120.075069
2024-01-01,AQS,60731014,1,0.042,ppm,39.0,Donovan,17,100,47,41740,"San Diego-Carlsbad, CA",73,San Diego,32.578165,-116.921374
2024-01-01,AQS,61131003,1,0.026,ppm,24.0,Woodland-Gibson Road,17,100,87,40900,"Sacramento-Roseville-Arden-Arcade, CA",113,Yolo,38.66121,-121.73269
2024-01-01,AQS,60231004,1,0.028,ppm,26.0,Jacobs,17,100,47,21700,"Eureka-Arcata-Fortuna, CA",23,Humboldt,40.7767800009332,-124.17949
2024-01-01,AQS,60251003,1,0.036,ppm,33.0,El Centro-9th Street,17,100,87,20940,"El Centro, CA",25,Imperial,32.79222,-115.56306
2024-01-01,AQS,60850002,1,0.023,ppm,21.0,Gilroy,17,100,47,41940,"San Jose-Sunnyvale-Santa Clara, CA",85,Santa Clara,36.999571,-121.574684
2024-01-01,AQS,60731006,1,0.042,ppm,39.0,Alpine,17,100,47,41740,"San Diego-Carlsbad, CA",73,San Diego,32.8423180008601,-116.768293
2024-01-01,AQS,60010011,1,0.022,ppm,20.0,Oakland West,17,100,47,41860,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.814781,-122.282347
2024-01-01,AQS,60731026,1,0.037,ppm,38.0,San Diego - Sherman Elementary School,17,100,47,41740,"San Diego-Carlsbad, CA",73,San Diego,32.7101770008584,-117.142665
2024-01-01,AQS,60850005,1,0.022,ppm,20.0,San Jose - Jackson,17,100,47,41940,"San Jose-Sunnyvale-Santa Clara, CA",85,Santa Clara,37.348497,-121.894898
2024-01-01,AQS,60730001,1,0.038,ppm,35.0,Chula Vista,17,100,47,41740,"San Diego-Carlsbad, CA",73,San Diego,32.6312420008573,-117.059088
2024-01-01,AQS,60851001,1,0.025,ppm,23.0,Los Gatos,17,100,47,41940,"San Jose-Sunnyvale-Santa Clara, CA",85,Santa Clara,37.226862,-121.979675
2024-01-01,AQS,60719004,1,0.035,ppm,32.0,San Bernardino,17,100,87,40140,"Riverside-San Bernardino-Ontario, CA",71,San Bernardino,34.1066780008763,-117.274063
